target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
25056000,23,24,0,3,Chla_ugL,1.99,26.542,0.0652173913
25056000,36,37,0,3,Chla_ugL,1,26.542,0.1304347826
25142400,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
26265600,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
26352000,23,24,0,3,Chla_ugL,1.42,26.542,0.0652173913
26352000,36,37,0,3,Chla_ugL,2.49,26.542,0.1304347826
27388800,23,24,0,3,Chla_ugL,1.42,26.542,0.0652173913
27388800,36,37,0,3,Chla_ugL,1.78,26.542,0.1304347826
27475200,58,59,0,3,Chla_ugL,0.3,26.542,0.04347826087
28684800,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
28771200,23,24,0,3,Chla_ugL,1.5,26.542,0.0652173913
28771200,36,37,0,3,Chla_ugL,4.49,26.542,0.1304347826
29894400,58,59,0,3,Chla_ugL,1,26.542,0.04347826087
29980800,23,24,0,3,Chla_ugL,1,26.542,0.0652173913
29980800,36,37,0,3,Chla_ugL,7.98,26.542,0.1304347826
86400,13,14,0,3,NH4,0.8208422555,76.23126338,0.04166666667
86400,79,80,0,3,NH4,6.709493219,76.23126338,0.04166666667
777600,58,59,0,3,NH4,28.55103498,76.23126338,0.02857142857
864000,23,24,0,3,NH4,10.70663812,76.23126338,0.0652173913
864000,36,37,0,3,NH4,27.12348323,76.23126338,0.08571428571
1209600,1,2,0,3,NH4,0,76.23126338,0.08333333333
1209600,13,14,0,3,NH4,0,76.23126338,0.04166666667
1209600,36,37,0,3,NH4,158.6366881,76.23126338,0.08571428571
1209600,45,46,0,3,NH4,31.12062812,76.23126338,0.125
